Graph 1
0, 1, 2
3, 4, 25
3, 9, 19
3, 9, 21
3, 15, 17
3, 15, 23
3, 17, 19
3, 17, 23
3, 19, 21
3, 21, 25
3, 23, 25
4, 10, 20
4, 10, 22
4, 16, 18
4, 16, 24
4, 18, 20
4, 18, 24
4, 20, 22
4, 22, 25
4, 24, 25
5, 6, 14
5, 6, 25
5, 7, 15
5, 7, 24
5, 10, 11
5, 10, 19
5, 11, 15
5, 11, 25
5, 14, 15
5, 14, 19
5, 19, 24
5, 24, 25
6, 8, 16
6, 8, 23
6, 9, 12
6, 9, 20
6, 12, 16
6, 12, 25
6, 14, 16
6, 14, 20
6, 20, 23
6, 23, 25
7, 9, 12
7, 9, 18
7, 12, 17
7, 12, 22
7, 15, 17
7, 15, 18
7, 17, 22
7, 18, 24
8, 10, 11
8, 10, 17
8, 11, 18
8, 11, 21
8, 16, 17
8, 16, 18
8, 17, 23
8, 18, 21
9, 12, 13
9, 13, 19
9, 13, 20
9, 18, 20
9, 18, 21
9, 19, 21
10, 11, 13
10, 13, 19
10, 13, 20
10, 17, 19
10, 17, 22
10, 20, 22
11, 12, 13
11, 12, 25
11, 15, 18
11, 18, 21
11, 21, 25
12, 16, 17
12, 17, 22
12, 22, 25
13, 19, 24
13, 20, 23
13, 23, 24
14, 15, 20
14, 16, 19
14, 19, 21
14, 20, 22
14, 21, 22
15, 17, 23
15, 18, 20
15, 20, 23
16, 17, 19
16, 18, 24
16, 19, 24
21, 22, 25
23, 24, 25
Graph 10
0, 1, 2
0, 1, 3
0, 1, 4
0, 2, 7
0, 2, 8
0, 3, 4
0, 3, 9
0, 4, 10
0, 5, 6
0, 5, 7
0, 5, 9
0, 6, 8
0, 6, 10
0, 7, 10
0, 8, 9
1, 2, 13
1, 2, 14
1, 3, 4
1, 3, 15
1, 4, 16
1, 11, 12
1, 11, 13
1, 11, 16
1, 12, 13
1, 12, 15
1, 14, 15
1, 14, 16
2, 7, 21
2, 7, 24
2, 8, 22
2, 8, 23
2, 13, 23
2, 13, 24
2, 14, 21
2, 14, 22
2, 21, 22
2, 23, 24
